100,4,0.058140
200,4,0.060163
300,4,0.071211
400,4,0.083770
500,4,0.100648
600,4,0.128944
700,4,0.157815
800,4,0.176696
900,4,0.179851
1000,4,0.211881
1100,4,0.249790
1200,4,0.280676
1300,4,0.345543
1400,4,0.378964
1500,4,0.432655
1600,4,0.460008
1700,4,0.512951
1800,4,0.577764
1900,4,0.637491
2000,4,0.693771
2100,4,0.766178
2200,4,0.827463
2300,4,0.932324
2400,4,0.990534
2500,4,1.066474
2600,4,1.132240
2700,4,1.225327
2800,4,1.341204
2900,4,1.400714
3000,4,1.526706
3100,4,1.594975
3200,4,1.694877
3300,4,1.798452
3400,4,1.901823
3500,4,2.013961
3600,4,2.132640
3700,4,2.251819
3800,4,2.375298
3900,4,2.493553
4000,4,2.620610
4100,4,2.758314
4200,4,2.884055
4300,4,3.022535
4400,4,3.161310
4500,4,3.303384
4600,4,3.450409
4700,4,3.636032
4800,4,3.784919
4900,4,3.898406
5000,4,4.055718
5100,4,4.219521
5200,4,4.385043
5300,4,4.575370
5400,4,4.762101
5500,4,4.940865
5600,4,5.127274
5700,4,5.350987
5800,4,5.486168
5900,4,5.711045
6000,4,5.896719
6100,4,6.383902
6200,4,6.492694
6300,4,6.617530
6400,4,6.663734
6500,4,6.873626
6600,4,7.087142
6700,4,7.300986
6800,4,7.519830
6900,4,7.766028
7000,4,8.145696
7100,4,8.295120
7200,4,8.427077
7300,4,8.663838
7400,4,8.982893
7500,4,9.216519
7600,4,9.423267
7700,4,9.720191
7800,4,9.875668
7900,4,10.130184
8000,4,10.381268
8100,4,10.651358
8200,4,11.077201
8300,4,11.503282
8400,4,11.563679
8500,4,11.719048
8600,4,11.994385
8700,4,12.537465
8800,4,12.792318
8900,4,13.051921
9000,4,13.398036
9100,4,13.432847
9200,4,13.733793
9300,4,14.034244
9400,4,14.410276
9500,4,14.687290
9600,4,15.043623
9700,4,15.256986
9800,4,15.568051
9900,4,15.888745
10000,4,16.400203
